directed,source,target,type,year
True,article:2002_874,keyword:balance_and_unbalanced_voltage_sag:44d489f3,Contains,2002
True,article:2002_875,year:2002,Was_Published_In,2002
True,author:franklin_m_p_pamplona:1ef58934,article:2002_875,Was_Author_of,2002
True,author:damasio_fernandes_jr:0ccd6ae1,article:2002_875,Was_Author_of,2002
True,author:benemar_a_souza:3a528735,article:2002_875,Was_Author_of,2002
True,author:washington_l_a_neves:db4db963,article:2002_875,Was_Author_of,2002
True,author:franklin_m_p_pamplona:1ef58934,affiliation:laboratorio_de_alta_tensao_departamento_de_engenharia_eletrica_univers:bff378a3,Is_Linked_to,2002
True,author:franklin_m_p_pamplona:1ef58934,affiliation:universidade_federal_da_paraiba:2210d92e,Is_Linked_to,2002
True,author:damasio_fernandes_jr:0ccd6ae1,affiliation:laboratorio_de_alta_tensao_departamento_de_engenharia_eletrica_univers:bff378a3,Is_Linked_to,2002
True,author:damasio_fernandes_jr:0ccd6ae1,affiliation:universidade_federal_da_paraiba:2210d92e,Is_Linked_to,2002
True,author:benemar_a_souza:3a528735,affiliation:laboratorio_de_alta_tensao_departamento_de_engenharia_eletrica_univers:bff378a3,Is_Linked_to,2002
True,author:benemar_a_souza:3a528735,affiliation:universidade_federal_da_paraiba:2210d92e,Is_Linked_to,2002
True,author:washington_l_a_neves:db4db963,affiliation:laboratorio_de_alta_tensao_departamento_de_engenharia_eletrica_univers:bff378a3,Is_Linked_to,2002
True,author:washington_l_a_neves:db4db963,affiliation:universidade_federal_da_paraiba:2210d92e,Is_Linked_to,2002
False,author:franklin_m_p_pamplona:1ef58934,author:damasio_fernandes_jr:0ccd6ae1,Collaborates,2002
False,author:franklin_m_p_pamplona:1ef58934,author:benemar_a_souza:3a528735,Collaborates,2002
False,author:franklin_m_p_pamplona:1ef58934,author:washington_l_a_neves:db4db963,Collaborates,2002
False,author:damasio_fernandes_jr:0ccd6ae1,author:benemar_a_souza:3a528735,Collaborates,2002
False,author:damasio_fernandes_jr:0ccd6ae1,author:washington_l_a_neves:db4db963,Collaborates,2002
False,author:benemar_a_souza:3a528735,author:washington_l_a_neves:db4db963,Collaborates,2002
False,affiliation:laboratorio_de_alta_tensao_departamento_de_engenharia_eletrica_univers:bff378a3,affiliation:universidade_federal_da_paraiba:2210d92e,Collaborates,2002
